Temperature - (Celsius), Year,Month
26.6905,1914,May
29.6573,1914,June
28.671,1914,July
27.6078,1914,August
25.8722,1914,September
19.9983,1914,October
15.5218,1914,November
8.85739,1914,December
8.32678,1915,January
9.02594,1915,February
16.8911,1915,March
21.155,1915,April
27.7985,1915,May
29.766,1915,June
29.4356,1915,July
28.5276,1915,August
26.587,1915,September
21.7021,1915,October
15.5621,1915,November
10.1948,1915,December
9.95363,1916,January
9.29735,1916,February
17.6636,1916,March
22.1382,1916,April
25.5462,1916,May
29.0615,1916,June
28.9225,1916,July
27.7522,1916,August
25.0285,1916,September
20.3183,1916,October
12.6042,1916,November
9.42256,1916,December
9.72695,1917,January
12.1566,1917,February
15.5658,1917,March
19.8269,1917,April
24.7684,1917,May
28.7806,1917,June
28.5988,1917,July
27.0211,1917,August
24.2356,1917,September
19.3879,1917,October
13.0002,1917,November
9.5386,1917,December
7.58665,1918,January
10.6784,1918,February
14.9643,1918,March
19.3156,1918,April
27.1895,1918,May
28.7607,1918,June
29.3498,1918,July
28.2618,1918,August
24.6355,1918,September
20.5344,1918,October
14.5055,1918,November
8.81664,1918,December
7.77159,1919,January
9.32812,1919,February
15.4089,1919,March
20.8591,1919,April
25.8169,1919,May
29.7151,1919,June
29.0787,1919,July
27.4257,1919,August
24.1693,1919,September
20.2582,1919,October
14.2264,1919,November
9.26809,1919,December
8.63298,1920,January
8.97622,1920,February
15.5838,1920,March
20.1605,1920,April
23.7542,1920,May
28.0569,1920,June
28.9401,1920,July
27.3003,1920,August
25.7006,1920,September
21.495,1920,October
15.2376,1920,November
9.10705,1920,December
8.85667,1921,January
9.73737,1921,February
17.4293,1921,March
23.2014,1921,April
26.8129,1921,May
29.2158,1921,June
29.3536,1921,July
27.0996,1921,August
24.8829,1921,September
20.0726,1921,October
14.991,1921,November
11.0271,1921,December
8.52109,1922,January
11.1049,1922,February
16.5204,1922,March
22.0116,1922,April
25.7362,1922,May
28.8851,1922,June
29.5393,1922,July
27.966,1922,August
24.9959,1922,September
20.0123,1922,October
14.7231,1922,November
10.3632,1922,December
8.44368,1923,January
9.77555,1923,February
16.3721,1923,March
21.6004,1923,April
25.1684,1923,May
29.537,1923,June
28.5296,1923,July
27.1817,1923,August
24.4411,1923,September
19.8052,1923,October
13.7708,1923,November
9.23425,1923,December
7.90866,1924,January
10.4678,1924,February
17.1981,1924,March
21.6474,1924,April
23.7969,1924,May
29.3877,1924,June
29.7142,1924,July
27.766,1924,August
24.1265,1924,September
20.2729,1924,October
14.0058,1924,November
10.1345,1924,December
7.01882,1925,January
8.05247,1925,February
17.076,1925,March
23.2879,1925,April
26.0975,1925,May
28.6138,1925,June
28.5526,1925,July
27.719,1925,August
25.4232,1925,September
21.4559,1925,October
14.023,1925,November
10.3019,1925,December
9.18545,1926,January
12.4607,1926,February
15.2092,1926,March
19.1603,1926,April
24.6877,1926,May
29.429,1926,June
29.552,1926,July
28.0936,1926,August
24.8684,1926,September
20.1619,1926,October
12.5964,1926,November
10.0698,1926,December
7.01288,1927,January
8.92672,1927,February
14.5618,1927,March
20.8602,1927,April
25.4843,1927,May
28.8465,1927,June
28.9607,1927,July
27.3294,1927,August
24.9367,1927,September
21.3324,1927,October
14.803,1927,November
10.6933,1927,December
8.09961,1928,January
10.8143,1928,February
15.6366,1928,March
21.8333,1928,April
27.0178,1928,May
29.1673,1928,June
29.0433,1928,July
27.6165,1928,August
24.443,1928,September
21.1053,1928,October
15.1728,1928,November
9.38718,1928,December
7.25885,1929,January
8.90064,1929,February
17.6433,1929,March
22.6193,1929,April
26.4412,1929,May
29.09,1929,June
28.3686,1929,July
26.8937,1929,August
25.3313,1929,September
20.0875,1929,October
15.0247,1929,November
7.61744,1929,December
6.49648,1930,January
9.42237,1930,February
15.9683,1930,March
20.3948,1930,April
26.0374,1930,May
28.9044,1930,June
28.2107,1930,July
27.3902,1930,August
25.1193,1930,September
20.7713,1930,October
14.7973,1930,November
9.75092,1930,December
9.59812,1931,January
7.96542,1931,February
15.8276,1931,March
22.7935,1931,April
25.5731,1931,May
28.444,1931,June
28.0122,1931,July
28.762,1931,August
25.2875,1931,September
20.8407,1931,October
14.8979,1931,November
10.4747,1931,December
10.2049,1932,January
10.8699,1932,February
16.603,1932,March
22.8721,1932,April
25.0947,1932,May
29.0959,1932,June
28.9709,1932,July
26.978,1932,August
25.8022,1932,September
20.5029,1932,October
15.1777,1932,November
9.0796,1932,December
6.96584,1933,January
11.0385,1933,February
15.3429,1933,March
19.9956,1933,April
25.7179,1933,May
29.3964,1933,June
29.2275,1933,July
26.5425,1933,August
24.4015,1933,September
20.5593,1933,October
15.5051,1933,November
11.6414,1933,December
6.22931,1934,January
13.0946,1934,February
15.1478,1934,March
21.5973,1934,April
24.6452,1934,May
29.2119,1934,June
28.9992,1934,July
27.9458,1934,August
25.6604,1934,September
20.0248,1934,October
14.9063,1934,November
11.3128,1934,December
6.6209,1935,January
10.9282,1935,February
16.2138,1935,March
18.777,1935,April
25.2229,1935,May
28.2725,1935,June
28.4659,1935,July
27.2477,1935,August
24.8055,1935,September
19.8651,1935,October
15.0273,1935,November
10.0699,1935,December
7.20295,1936,January
11.5836,1936,February
14.3037,1936,March
20.7998,1936,April
28.4465,1936,May
28.6827,1936,June
28.51,1936,July
27.788,1936,August
25.7855,1936,September
21.4206,1936,October
14.3463,1936,November
9.68323,1936,December
7.69728,1937,January
10.9572,1937,February
14.5725,1937,March
20.092,1937,April
26.2653,1937,May
29.6215,1937,June
28.6578,1937,July
28.1379,1937,August
25.2788,1937,September
19.5614,1937,October
14.5102,1937,November
8.49138,1937,December
7.64421,1938,January
9.40673,1938,February
15.7825,1938,March
22.0969,1938,April
28.2997,1938,May
28.4752,1938,June
29.0276,1938,July
28.1275,1938,August
25.2984,1938,September
20.8295,1938,October
13.4783,1938,November
10.133,1938,December
9.17465,1939,January
10.3768,1939,February
13.2136,1939,March
19.1503,1939,April
25.897,1939,May
29.2542,1939,June
28.8703,1939,July
28.0987,1939,August
26.3639,1939,September
21.2804,1939,October
15.4489,1939,November
11.909,1939,December
9.98493,1940,January
11.6089,1940,February
14.61,1940,March
20.5647,1940,April
26.5984,1940,May
29.2994,1940,June
29.6485,1940,July
27.0486,1940,August
24.9045,1940,September
21.6449,1940,October
16.265,1940,November
10.5001,1940,December
8.36705,1941,January
12.4462,1941,February
17.9988,1941,March
23.2831,1941,April
27.4563,1941,May
29.4035,1941,June
28.9097,1941,July
28.6478,1941,August
24.9377,1941,September
23.3141,1941,October
15.7322,1941,November
11.3193,1941,December
8.14011,1942,January
10.4589,1942,February
17.4324,1942,March
23.0039,1942,April
26.3929,1942,May
29.0857,1942,June
28.5125,1942,July
27.1215,1942,August
24.8394,1942,September
21.0519,1942,October
16.6865,1942,November
9.3286,1942,December
7.74994,1943,January
11.2294,1943,February
16.3537,1943,March
20.5152,1943,April
25.511,1943,May
28.5611,1943,June
28.5903,1943,July
27.6381,1943,August
25.6657,1943,September
20.565,1943,October
15.4663,1943,November
12.1435,1943,December
8.60892,1944,January
9.85891,1944,February
16.1931,1944,March
21.4394,1944,April
26.6978,1944,May
29.2609,1944,June
29.3945,1944,July
27.3187,1944,August
24.2629,1944,September
20.2588,1944,October
15.5398,1944,November
9.20158,1944,December
6.76212,1945,January
9.71662,1945,February
16.1434,1945,March
20.1679,1945,April
25.6208,1945,May
29.0594,1945,June
28.4821,1945,July
27.8279,1945,August
25.589,1945,September
20.5964,1945,October
15.4704,1945,November
9.25073,1945,December
8.8577,1946,January
12.1947,1946,February
15.6397,1946,March
24.7555,1946,April
27.6181,1946,May
29.826,1946,June
29.4493,1946,July
27.9567,1946,August
25.4033,1946,September
22.3678,1946,October
13.6908,1946,November
8.05579,1946,December
8.20268,1947,January
10.8427,1947,February
17.2128,1947,March
22.785,1947,April
26.9956,1947,May
29.6508,1947,June
29.2969,1947,July
28.7425,1947,August
25.9524,1947,September
20.499,1947,October
17.0484,1947,November
10.2341,1947,December
8.91023,1948,January
10.3608,1948,February
15.5986,1948,March
22.4834,1948,April
27.5979,1948,May
28.4181,1948,June
29.2039,1948,July
27.5069,1948,August
25.4886,1948,September
21.307,1948,October
13.8187,1948,November
10.2194,1948,December
8.64658,1949,January
10.2045,1949,February
16.167,1949,March
22.7572,1949,April
27.8123,1949,May
27.6135,1949,June
29.0738,1949,July
27.1366,1949,August
26.273,1949,September
19.4857,1949,October
12.9907,1949,November
9.8119,1949,December
8.39886,1950,January
7.83502,1950,February
14.5453,1950,March
19.4117,1950,April
26.0093,1950,May
28.9187,1950,June
28.8672,1950,July
27.3896,1950,August
24.1737,1950,September
20.2951,1950,October
13.4808,1950,November
7.55997,1950,December
8.342,1951,January
9.60423,1951,February
15.1646,1951,March
19.3428,1951,April
25.4909,1951,May
27.8683,1951,June
28.7649,1951,July
27.4909,1951,August
25.9301,1951,September
23.1378,1951,October
15.8826,1951,November
11.5474,1951,December
8.80908,1952,January
12.0162,1952,February
15.6622,1952,March
22.7377,1952,April
26.3735,1952,May
29.3529,1952,June
28.5421,1952,July
27.1008,1952,August
24.7101,1952,September
20.2485,1952,October
14.7995,1952,November
9.79886,1952,December
8.42039,1953,January
12.6862,1953,February
18.0881,1953,March
21.7689,1953,April
26.1404,1953,May
29.1311,1953,June
29.3014,1953,July
27.5025,1953,August
25.0631,1953,September
20.3011,1953,October
15.3224,1953,November
12.9481,1953,December
8.05773,1954,January
10.4943,1954,February
16.1464,1954,March
21.7416,1954,April
26.6844,1954,May
29.099,1954,June
28.7146,1954,July
28.0352,1954,August
25.6102,1954,September
19.2283,1954,October
15.2415,1954,November
9.87112,1954,December
8.33256,1955,January
11.8311,1955,February
17.6331,1955,March
20.1084,1955,April
24.1422,1955,May
28.5932,1955,June
28.8129,1955,July
27.5663,1955,August
25.4361,1955,September
20.2003,1955,October
15.0889,1955,November
11.1069,1955,December
8.1772,1956,January
11.2207,1956,February
15.8827,1956,March
21.6388,1956,April
27.8745,1956,May
28.4585,1956,June
27.3943,1956,July
26.5273,1956,August
25.7572,1956,September
20.0055,1956,October
14.5194,1956,November
10.2144,1956,December
7.62479,1957,January
9.40956,1957,February
15.1977,1957,March
19.2207,1957,April
23.5107,1957,May
28.0138,1957,June
28.934,1957,July
27.3497,1957,August
24.3486,1957,September
20.2524,1957,October
15.1758,1957,November
10.443,1957,December
10.4826,1958,January
11.2078,1958,February
17.1515,1958,March
23.4353,1958,April
25.4803,1958,May
29.2229,1958,June
29.2977,1958,July
27.9763,1958,August
25.5216,1958,September
20.8029,1958,October
14.7928,1958,November
11.5139,1958,December
8.26172,1959,January
9.82432,1959,February
17.1933,1959,March
22.046,1959,April
25.6553,1959,May
29.3652,1959,June
28.0893,1959,July
28.161,1959,August
26.2621,1959,September
22.334,1959,October
14.6366,1959,November
9.75349,1959,December
8.76008,1960,January
13.1981,1960,February
14.3608,1960,March
19.6976,1960,April
25.3706,1960,May
29.3032,1960,June
28.7091,1960,July
28.2886,1960,August
25.7451,1960,September
20.8258,1960,October
14.6552,1960,November
9.66539,1960,December
9.17013,1961,January
9.09557,1961,February
16.712,1961,March
20.2747,1961,April
26.1231,1961,May
28.6842,1961,June
28.8716,1961,July
27.9087,1961,August
26.4479,1961,September
20.2093,1961,October
13.7978,1961,November
9.74896,1961,December
8.12009,1962,January
12.1998,1962,February
16.3822,1962,March
21.9979,1962,April
25.8001,1962,May
28.7331,1962,June
28.9729,1962,July
27.7405,1962,August
24.1681,1962,September
20.0197,1962,October
13.8918,1962,November
9.32446,1962,December
9.27652,1963,January
13.2863,1963,February
16.3024,1963,March
21.2156,1963,April
24.6016,1963,May
29.5692,1963,June
29.4326,1963,July
28.0886,1963,August
25.2801,1963,September
22.0994,1963,October
15.8677,1963,November
10.5231,1963,December
5.91348,1964,January
10.6336,1964,February
17.7988,1964,March
22.0596,1964,April
25.6587,1964,May
28.1009,1964,June
28.3536,1964,July
28.295,1964,August
25.0969,1964,September
19.3908,1964,October
13.6943,1964,November
8.47349,1964,December
10.4216,1965,January
10.9227,1965,February
15.8087,1965,March
18.726,1965,April
24.5479,1965,May
28.5565,1965,June
28.412,1965,July
26.7583,1965,August
24.9747,1965,September
22.2042,1965,October
16.2269,1965,November
9.28412,1965,December
10.2415,1966,January
13.2975,1966,February
15.7347,1966,March
20.2439,1966,April
25.52,1966,May
29.0107,1966,June
28.4109,1966,July
27.5495,1966,August
24.6629,1966,September
20.9205,1966,October
13.2775,1966,November
9.1559,1966,December
7.16669,1967,January
12.3515,1967,February
15.2662,1967,March
20.375,1967,April
24.7303,1967,May
28.6965,1967,June
29.1326,1967,July
27.2929,1967,August
25.532,1967,September
20.4776,1967,October
15.6108,1967,November
9.50393,1967,December
7.6518,1968,January
8.66805,1968,February
16.227,1968,March
21.2904,1968,April
23.8922,1968,May
29.0917,1968,June
28.8278,1968,July
27.579,1968,August
25.259,1968,September
20.4678,1968,October
15.2789,1968,November
10.2336,1968,December
8.29291,1969,January
9.93885,1969,February
18.7145,1969,March
21.6886,1969,April
24.9806,1969,May
29.1478,1969,June
29.2691,1969,July
27.7145,1969,August
25.0432,1969,September
21.7138,1969,October
15.5467,1969,November
11.5726,1969,December
9.03377,1970,January
11.4332,1970,February
15.3094,1970,March
22.8451,1970,April
27.0705,1970,May
29.28,1970,June
28.7569,1970,July
28.634,1970,August
25.5764,1970,September
21.6389,1970,October
14.9196,1970,November
10.5616,1970,December
7.74281,1971,January
11.1406,1971,February
16.6588,1971,March
23.3466,1971,April
26.7837,1971,May
29.1591,1971,June
28.2092,1971,July
27.5819,1971,August
24.6091,1971,September
20.0397,1971,October
15.6412,1971,November
11.1905,1971,December
8.47586,1972,January
7.1458,1972,February
15.8181,1972,March
20.4903,1972,April
25.669,1972,May
29.0941,1972,June
28.2412,1972,July
26.9078,1972,August
24.463,1972,September
20.1057,1972,October
15.8631,1972,November
9.87479,1972,December
7.16177,1973,January
11.6869,1973,February
15.8208,1973,March
22.5258,1973,April
26.7701,1973,May
30.1281,1973,June
28.5222,1973,July
27.5854,1973,August
25.6705,1973,September
20.4198,1973,October
14.8984,1973,November
9.48835,1973,December
8.19593,1974,January
8.173,1974,February
17.74,1974,March
22.7606,1974,April
25.8675,1974,May
28.1238,1974,June
28.9807,1974,July
27.8972,1974,August
25.5687,1974,September
19.2896,1974,October
14.4161,1974,November
9.03787,1974,December
7.53072,1975,January
9.4018,1975,February
14.7406,1975,March
21.0544,1975,April
25.9698,1975,May
28.2626,1975,June
28.0591,1975,July
27.5889,1975,August
25.2221,1975,September
20.8178,1975,October
13.8608,1975,November
10.4788,1975,December
9.50869,1976,January
10.3223,1976,February
14.4527,1976,March
20.7216,1976,April
26.0356,1976,May
28.09,1976,June
28.8777,1976,July
26.9977,1976,August
25.0692,1976,September
21.6511,1976,October
14.6568,1976,November
10.0033,1976,December
7.68699,1977,January
11.0861,1977,February
18.6074,1977,March
22.1772,1977,April
25.6031,1977,May
28.907,1977,June
28.8892,1977,July
27.6078,1977,August
24.9115,1977,September
22.3235,1977,October
16.8919,1977,November
11.6453,1977,December
8.03211,1978,January
10.4184,1978,February
14.6407,1978,March
22.2052,1978,April
27.5054,1978,May
29.8194,1978,June
27.7014,1978,July
27.6038,1978,August
25.1838,1978,September
20.9816,1978,October
15.2975,1978,November
11.4317,1978,December
9.23467,1979,January
10.6324,1979,February
14.2021,1979,March
22.8234,1979,April
23.842,1979,May
29.3925,1979,June
29.3805,1979,July
27.0829,1979,August
24.7969,1979,September
21.2903,1979,October
14.9688,1979,November
10.9745,1979,December
8.70261,1980,January
11.335,1980,February
15.1336,1980,March
23.4625,1980,April
26.7814,1980,May
29.1966,1980,June
29.0086,1980,July
27.8459,1980,August
25.144,1980,September
21.6087,1980,October
15.5323,1980,November
10.9274,1980,December
9.3686,1981,January
11.545,1981,February
16.064,1981,March
22.6124,1981,April
26.6235,1981,May
28.9905,1981,June
28.5818,1981,July
27.4587,1981,August
25.4305,1981,September
20.1296,1981,October
14.6573,1981,November
11.015,1981,December
9.06027,1982,January
9.01251,1982,February
13.7538,1982,March
21.094,1982,April
24.662,1982,May
28.7336,1982,June
29.0474,1982,July
27.6932,1982,August
24.8136,1982,September
21.3597,1982,October
15.0355,1982,November
9.85679,1982,December
8.75392,1983,January
10.0849,1983,February
14.0165,1983,March
19.021,1983,April
25.7748,1983,May
28.7549,1983,June
28.8602,1983,July
28.0313,1983,August
26.3524,1983,September
20.402,1983,October
15.2956,1983,November
9.9931,1983,December
8.05132,1984,January
8.2811,1984,February
17.9296,1984,March
22.3283,1984,April
27.2413,1984,May
29.9365,1984,June
28.3113,1984,July
27.8858,1984,August
24.3607,1984,September
19.4797,1984,October
15.3749,1984,November
9.86472,1984,December
8.85419,1985,January
12.2303,1985,February
17.6502,1985,March
21.6968,1985,April
26.2307,1985,May
29.0758,1985,June
28.5916,1985,July
27.2145,1985,August
25.0969,1985,September
20.2161,1985,October
15.5024,1985,November
10.5554,1985,December
7.94782,1986,January
10.1744,1986,February
14.7358,1986,March
21.6092,1986,April
25.734,1986,May
29.0014,1986,June
28.1351,1986,July
26.7377,1986,August
24.7164,1986,September
21.4811,1986,October
15.6042,1986,November
9.07079,1986,December
9.5601,1987,January
11.8572,1987,February
16.697,1987,March
21.8214,1987,April
24.3446,1987,May
28.4723,1987,June
28.99,1987,July
28.7271,1987,August
26.5997,1987,September
20.9078,1987,October
16.0856,1987,November
11.063,1987,December
10.2191,1988,January
11.958,1988,February
15.9193,1988,March
23.2295,1988,April
27.8879,1988,May
29.5936,1988,June
29.0701,1988,July
27.6918,1988,August
26.0382,1988,September
21.0298,1988,October
16.0212,1988,November
11.6383,1988,December
7.85848,1989,January
9.51724,1989,February
15.2886,1989,March
20.2563,1989,April
25.0662,1989,May
28.3993,1989,June
27.8903,1989,July
26.8069,1989,August
25.2399,1989,September
21.2342,1989,October
15.903,1989,November
11.0325,1989,December
10.5656,1990,January
10.9966,1990,February
14.8798,1990,March
21.2646,1990,April
27.4862,1990,May
29.1841,1990,June
28.9034,1990,July
27.9642,1990,August
26.0024,1990,September
20.4374,1990,October
16.1345,1990,November
10.4213,1990,December
8.2829,1991,January
9.99503,1991,February
15.5038,1991,March
20.5152,1991,April
25.1976,1991,May
29.0619,1991,June
29.3048,1991,July
27.745,1991,August
25.2474,1991,September
20.1716,1991,October
15.4148,1991,November
11.6744,1991,December
9.06016,1992,January
10.5495,1992,February
14.731,1992,March
19.9273,1992,April
24.9313,1992,May
29.2299,1992,June
28.4087,1992,July
26.9621,1992,August
24.2183,1992,September
20.6592,1992,October
15.64,1992,November
12.1524,1992,December
8.77164,1993,January
13.2686,1993,February
14.7936,1993,March
21.6325,1993,April
27.0292,1993,May
28.9541,1993,June
28.2827,1993,July
27.834,1993,August
25.8537,1993,September
20.5806,1993,October
16.4152,1993,November
11.4759,1993,December
9.52572,1994,January
10.397,1994,February
17.6477,1994,March
20.3414,1994,April
26.505,1994,May
29.5395,1994,June
28.2426,1994,July
27.6323,1994,August
23.8697,1994,September
20.1672,1994,October
16.8134,1994,November
10.6588,1994,December
8.65067,1995,January
11.3525,1995,February
14.7091,1995,March
20.0073,1995,April
26.1724,1995,May
29.5621,1995,June
28.7296,1995,July
27.7186,1995,August
25.2638,1995,September
21.6044,1995,October
15.3296,1995,November
10.2254,1995,December
8.36005,1996,January
11.8006,1996,February
16.9391,1996,March
22.0081,1996,April
25.0169,1996,May
28.334,1996,June
28.4034,1996,July
27.0528,1996,August
25.8551,1996,September
20.3651,1996,October
14.2503,1996,November
9.9332,1996,December
8.51052,1997,January
11.0733,1997,February
15.5146,1997,March
19.9341,1997,April
24.0034,1997,May
27.8558,1997,June
29.2669,1997,July
27.3021,1997,August
25.7255,1997,September
19.8213,1997,October
14.7835,1997,November
9.54585,1997,December
9.01244,1998,January
10.9107,1998,February
15.6202,1998,March
22.8289,1998,April
26.6166,1998,May
28.533,1998,June
29.0016,1998,July
28.3712,1998,August
25.8367,1998,September
21.7597,1998,October
15.5877,1998,November
11.5113,1998,December
8.62707,1999,January
11.9247,1999,February
16.6285,1999,March
23.2143,1999,April
26.8752,1999,May
29.1077,1999,June
29.2285,1999,July
27.6811,1999,August
26.6208,1999,September
22.1888,1999,October
16.8504,1999,November
11.3234,1999,December
9.58937,2000,January
10.2385,2000,February
16.0165,2000,March
24.0088,2000,April
28.7896,2000,May
28.9764,2000,June
28.2836,2000,July
27.6537,2000,August
25.4155,2000,September
22.0832,2000,October
15.753,2000,November
11.5061,2000,December
8.57782,2001,January
11.7034,2001,February
16.8941,2001,March
22.5681,2001,April
28.3372,2001,May
28.9762,2001,June
28.5291,2001,July
27.7208,2001,August
25.2692,2001,September
21.9897,2001,October
16.3373,2001,November
12.4597,2001,December
9.43203,2002,January
10.872,2002,February
17.412,2002,March
23.1135,2002,April
27.8393,2002,May
29.4699,2002,June
29.0707,2002,July
28.1767,2002,August
24.792,2002,September
21.9352,2002,October
16.2022,2002,November
11.368,2002,December
9.47909,2003,January
11.7875,2003,February
16.4475,2003,March
22.7893,2003,April
25.4632,2003,May
29.6845,2003,June
28.4658,2003,July
27.7522,2003,August
25.4462,2003,September
21.1864,2003,October
14.7137,2003,November
10.7938,2003,December
9.87077,2004,January
12.7219,2004,February
19.6016,2004,March
23.8518,2004,April
26.8944,2004,May
28.8135,2004,June
28.9904,2004,July
27.7039,2004,August
25.7541,2004,September
20.0202,2004,October
16.6354,2004,November
11.7563,2004,December
8.35979,2005,January
9.7477,2005,February
16.8687,2005,March
21.5074,2005,April
24.9898,2005,May
29.4413,2005,June
28.6651,2005,July
27.8629,2005,August
26.276,2005,September
21.7352,2005,October
15.838,2005,November
10.5205,2005,December
8.68721,2006,January
14.6439,2006,February
16.7655,2006,March
22.5519,2006,April
28.7866,2006,May
28.4014,2006,June
29.4468,2006,July
27.5133,2006,August
25.5114,2006,September
22.9712,2006,October
16.4192,2006,November
10.2379,2006,December
9.10904,2007,January
12.3171,2007,February
15.9347,2007,March
24.3705,2007,April
26.7675,2007,May
28.8231,2007,June
28.6904,2007,July
28.0883,2007,August
25.7563,2007,September
20.3909,2007,October
16.9521,2007,November
10.2164,2007,December
6.83578,2008,January
9.89503,2008,February
18.9894,2008,March
21.8502,2008,April
27.0943,2008,May
29.8011,2008,June
29.0324,2008,July
27.0904,2008,August
25.5409,2008,September
22.4863,2008,October
15.8319,2008,November
11.7252,2008,December
10.0305,2009,January
13.0069,2009,February
17.7157,2009,March
21.516,2009,April
27.5519,2009,May
28.5178,2009,June
29.3437,2009,July
29.0663,2009,August
26.1628,2009,September
21.3392,2009,October
15.3006,2009,November
11.3757,2009,December
10.2605,2010,January
11.7885,2010,February
19.7456,2010,March
24.6826,2010,April
27.2414,2010,May
28.5066,2010,June
28.729,2010,July
27.6291,2010,August
25.0014,2010,September
22.5987,2010,October
15.8396,2010,November
9.97607,2010,December
8.38794,2011,January
11.4127,2011,February
17.1996,2011,March
21.8318,2011,April
28.1891,2011,May
29.9848,2011,June
28.8677,2011,July
28.0998,2011,August
25.3481,2011,September
21.7935,2011,October
17.3903,2011,November
10.1934,2011,December
7.89622,2012,January
9.10051,2012,February
16.0177,2012,March
21.7783,2012,April
26.3565,2012,May
29.0143,2012,June
29.6738,2012,July
27.964,2012,August
25.1985,2012,September
20.9427,2012,October
15.7487,2012,November
10.9512,2012,December
9.2059,2013,January
10.7169,2013,February
14.7599,2013,March
22.0156,2013,April
27.2735,2013,May
29.8533,2013,June
29.5909,2013,July
27.7081,2013,August
26.8228,2013,September
23.1727,2013,October
15.7483,2013,November
10.9647,2013,December
9.22441,2014,January
10.135,2014,February
15.858,2014,March
22.0136,2014,April
25.803,2014,May
30.3058,2014,June
29.8137,2014,July
28.506,2014,August
26.3865,2014,September
22.2904,2014,October
15.8981,2014,November
10.0999,2014,December
9.50221,2015,January
10.567,2015,February
15.8797,2015,March
23.0622,2015,April
27.1174,2015,May
29.4065,2015,June
28.7141,2015,July
27.7268,2015,August
25.3179,2015,September
22.379,2015,October
16.2182,2015,November
10.8177,2015,December
10.7526,2016,January
12.5766,2016,February
17.29,2016,March
23.092,2016,April
27.9996,2016,May
30.2144,2016,June
29.6574,2016,July
27.6332,2016,August
26.7179,2016,September
22.3982,2016,October
15.7672,2016,November
12.8763,2016,December
